jobId,skill
260925012514,Python
260925012514,SQL
260925012514,Spark
260925011482,Python
260925011482,Azure
260925008453,Java
180825018480,AWS
180825018480,Java
180825018480,React
170925027271,Azure
170925027271,Git
160925041572,Python
160925041572,SQL
160725036036,Java
120925027401,Azure
120925027401,Spark
120925027401,Databricks
120825018933,Python
120825018933,SQL
120825018933,Power BI
120825018933,Azure
120825018933,Spark
120825018933,Databricks
110825902257,Python
110825902257,SQL
11025024575,Generative AI
11025024575,React
11025021664,JavaScript
11025021664,React
11025020316,SQL
11025020316,Azure
11025020316,Git
11025020316,Java
11025016160,Java
11025016160,React
300925028491,Generative AI
300925028411,Python
300925028411,Generative AI
300925017864,Java
300925017864,JavaScript
300925017864,React
300925013860,Python
300925013860,Java
290925502033,Git
290925500637,Machine Learning
290925500633,JavaScript
290925500624,JavaScript
290925500623,Git
290925500622,Python
290925500622,Linux
290925023416,Java
290925021209,AWS
290925021209,Azure
290925021209,GCP
290925021209,Docker
290925021209,Kubernetes
290925020642,Git
290925019789,Python
290925018975,Python
290925007366,Azure
290925007366,Databricks
290925007197,Azure
290925007197,Spark
290925007197,Databricks
270925012505,Java
270925000026,AWS
270925000026,Azure
270925000026,Cybersecurity
260925912800,Python
260925912800,Linux
260925908655,Python
260925908655,Java
260925032365,Azure
260925029710,Python
250925028971,AWS
250925028971,Java
180825013073,Cybersecurity
150925026228,JavaScript
40925032650,Java
31025008442,AWS
310725018671,Python
310725018671,JavaScript
310725018671,React
300925926973,SQL
300925926973,JavaScript
300925926972,Python
300925926972,Docker
300925926972,Kubernetes
300925926972,Git
300925926972,Linux
300925926918,Python
300925926918,Java
300925925332,Python
300925925332,Git
300925925332,Java
300925925306,Python
300925925306,Java
300925925306,JavaScript
300925925284,Java
300925925284,JavaScript
300925924875,Python
300925924875,Git
300925924875,Java
300925924874,JavaScript
300925924874,React
300925924186,Python
300925924186,Kubernetes
300925924186,Java
300925923701,JavaScript
300925923696,Java
300925922333,Java
300925922321,AWS
300925922321,Kubernetes
300925922321,Java
300925922321,JavaScript
300925922321,React
300925922306,React
300925921542,Java
300925912904,SQL
300925912118,Git
300925911912,AWS
300925911912,Docker
300925504656,JavaScript
300925504433,Excel
300925504382,SQL
300925504324,GCP
300925504324,Git
300925504222,Git
300925504159,Git
300925504159,JavaScript
300925504144,Excel
300925504087,JavaScript
300925503389,Git
300925503388,AWS
300925503388,Git
300925503387,Git
300925503387,JavaScript
300925502799,JavaScript
300925502700,JavaScript
300925502621,Machine Learning
300925502510,SQL
300925502405,Git
300925502405,Linux
300925500911,Excel
300925500862,Linux
300925500813,Java
300925500588,Python
300925500588,Linux
300925500531,SQL
300925500531,JavaScript
300925500531,Linux
300925500344,Python
300925500278,JavaScript
300925500277,SQL
300925500276,Python
300925500276,SQL
300925500275,Git
300925030504,Python
300925030504,Power BI
300925030474,Python
300925030474,Azure
300925029953,Python
300925029953,SQL
300925029953,AWS
300925029903,Python
300925029903,SQL
300925029903,AWS
300925029903,Azure
300925029903,Databricks
300925029840,Python
300925029840,SQL
300925029840,Azure
300925029620,AWS
300925029620,Java
300925028425,Azure
300925028425,JavaScript
300925028308,AWS
300925028300,Docker
300925028300,Kubernetes
300925027931,SQL
300925026809,Power BI
300925026809,Excel
300925026133,SQL
300925026049,SQL
300925023721,Python
300925023721,AWS
300925023041,SQL
300925022189,Excel
300925020672,AWS
300925020672,GCP
300925020672,Generative AI
300925020633,Azure
300925020200,Python
300925020145,Python
300925020145,SQL
300925020145,AWS
300925020145,GCP
300925019374,Python
300925019374,Docker
300925019374,Java
300925019347,Java
300925019321,Python
300925019321,Docker
300925019321,Java
300925018933,Excel
300925017492,Python
300925014940,Java
300925013845,JavaScript
300925013845,React
300925013089,Azure
300925012386,Java
300925012016,Python
300925012016,Azure
300925011080,JavaScript
290925920978,Python
290925920978,Machine Learning
290925920978,Deep Learning
290925920978,NLP
290925917984,Docker
290925917984,Kubernetes
290925917648,Azure
290925917648,Docker
290925917293,SQL
290925917293,Git
290925917293,Java
290925917089,Python
290925915457,AWS
290925915457,Kubernetes
290925915452,Python
290925915452,AWS
290925915452,Azure
290925915449,Python
290925914518,SQL
290925914394,Python
290925914394,SQL
290925914394,Java
290925914389,JavaScript
290925913952,SQL
290925913952,Azure
290925913290,Java
290925913268,SQL
290925913268,Docker
290925912866,Azure
290925912866,Docker
290925911778,JavaScript
290925911242,Python
290925911230,Python
290925911230,Java
290925909346,SQL
290925903266,SQL
290925903266,JavaScript
290925903254,SQL
290925903254,Spark
290925503402,JavaScript
290925503335,Git
290925503268,Git
290925503268,JavaScript
290925503141,Linux
290925503111,JavaScript
290925503066,SQL
290925502895,Java
290925502895,JavaScript
290925502830,Python
290925502778,Linux
290925502744,JavaScript
290925502719,Git
290925502718,Excel
290925502717,Excel
290925502714,Linux
290925502412,Linux
290925502353,Linux
290925502262,JavaScript
290925502261,JavaScript
290925502227,AWS
290925502227,Machine Learning
290925502227,NLP
290925502197,JavaScript
290925502197,Linux
290925502196,Git
290925502194,SQL
290925502193,JavaScript
290925502191,Linux
290925502187,GCP
290925502187,Git
290925502186,Java
290925502181,GCP
290925502146,Linux
290925502145,Linux
290925502093,JavaScript
290925502093,Linux
290925502092,JavaScript
290925502088,SQL
290925501936,JavaScript
290925501917,Git
290925501869,Excel
290925501832,Excel
290925501786,SQL
290925501786,AWS
290925501786,Git
290925501786,React
290925501785,Cybersecurity
290925501784,Python
290925501784,AWS
290925501784,Git
290925501391,Excel
290925501250,SQL
290925501248,Python
290925501248,Machine Learning
290925501248,NLP
290925501246,SQL
290925501157,Python
290925501157,Azure
290925501156,SQL
290925500844,Excel
290925500844,Git
290925500693,Linux
290925500689,Linux
290925500477,JavaScript
290925500408,JavaScript
290925027939,AWS
290925023791,Python
290925023791,SQL
290925022998,SQL
290925021742,NLP
290925021444,Azure
290925021444,Docker
290925021444,Java
290925019488,Python
290925019488,Generative AI
290925018894,SQL
290925018513,SQL
290925018461,SQL
290925018461,Azure
290925018461,GCP
290925017532,Java
290925017361,Python
290925017361,SQL
290925017024,Python
290925017024,SQL
290925017024,Spark
290925016110,Python
290925014291,Linux
290925013316,Azure
290925013088,Python
290925013088,Docker
290925013088,Git
290925013029,Excel
290925012351,Python
290925012351,AWS
290925012351,Azure
290925012351,GCP
290925012146,Cybersecurity
290925012135,SQL
290925011470,Excel
290925009016,GCP
290925009016,Docker
290925008858,Excel
290925006539,Cybersecurity
290925006236,Spark
290925006236,Docker
290925006126,Python
290925005640,Linux
290925005568,Python
290925005071,Python
290925005071,Azure
290925004521,SQL
290925004521,Java
290925004521,Linux
290925002023,Excel
280925003995,Java
280925003544,Excel
280525035610,Python
280525035610,JavaScript
280525035610,React
270925012943,SQL
270925012926,AWS
270925012926,Spark
270925012481,Python
270925011579,AWS
270925011464,Java
270925010179,JavaScript
270925004700,AWS
270925004700,JavaScript
260925931010,AWS
260925931010,Java
260925931010,JavaScript
260925931010,React
260925930353,Python
260925930353,Java
260925929982,Java
260925929976,SQL
260925929969,Git
260925929969,React
260925928076,Python
260925928076,JavaScript
260925928049,Java
260925928049,JavaScript
260925928038,Python
260925928038,React
260925927841,Python
260925927841,AWS
260925927841,Azure
260925927840,SQL
260925927840,Docker
260925927840,Kubernetes
260925927838,SQL
260925927835,Python
260925927829,AWS
260925927829,Kubernetes
260925927828,SQL
260925927696,Python
260925927696,NLP
260925926983,Power BI
260925924288,Azure
260925924288,Spark
260925924242,Azure
260925924242,Linux
260925924216,Git
260925924216,Java
260925924199,Java
260925924121,JavaScript
260925924111,Azure
